CHAPTER,TITLE,NOTE,SUBHEADING NOTE,SUPPLEMENTARY NOTE,STATISTICAL NOTE,SECTION
11,Products of the milling industry; malt; starches; inulin; wheat gluten,"1. This Chapter does not cover:

    (a) Roasted malt put up as coffee substitutes (heading 09.01 or 21.01);
    (b) Prepared flours, groats meals or starches of heading 19.01;
    (c) Corn flakes or other products of heading 19.04;
    (d) Vegetables, prepared or preserved, of heading 20.01, 20.04 or 20.05;
    (e) Pharmaceutical products (Chapter 30); or
    (f) Starches having the character of perfumery, cosmetic or toilet preparations (Chapter 33).

2. (A)  Products from the milling of the cereals listed in the table below fall in this Chapter if they have, by weight on the dry product:

    (a) a starch content (determined by the modified Ewers polarimetric method) exceeding that indicated in Column (2); and
    (b) an ash content (after deduction of any added minerals) not exceeding that indicated in Column (3).
Otherwise, they fall in heading 23.02.  However, germ of cereals, whole, rolled, flaked or ground, is always classified in heading 11.04.
(B)  Products falling in this Chapter under the above provisions shall be classified in heading 11.01 or 11.02 if the percentage passing through a woven metal wire cloth sieve with the aperture indicated in Column (4) or (5) is not less, by weight, than that shown against the cereal concerned.

Otherwise, they fall in heading 11.03 or 11.04.

Cereal (1)	Starch content (2)	Ash content (3)	Rate of passage through a sieve with an aperture of 315 micrometres (microns) (4)	Rate of passage through a sieve with an aperture of 500 micrometres (microns) (5)
Wheat and rye	45%	2.5%	80%	-
Barley	45%	3%	80%	-
Oats	45%	5%	80%	-
Maize(corn) and grain sorghum	45%	2%	-	90%
Rice	45%	1.6%	80%	-
Buckwheat	45%	4%	80%	-

3.  For the purpose of heading 11.03, the terms ""groats"" and ""meal"" mean products obtained by the fragmentation of cereal grains, of which:

(a) in the case of maize (corn) products, at least 95% by weight passes through a woven metal wire cloth sieve with an aperture of 2 mm;
(b) in the case of other cereal products, at least 95% by weight passes through a woven metal wire cloth sieve with an aperture of 1.25 mm.
",,"1. For goods classified under tariff item No. 1108.11.10, 1108.11.20, 1108.19.11, 1108.19.12 or 1108.19.90, when in packages of a weight not exceeding 1 kg each, the weight of the packaging shall be included in the weight of the goods for the purpose of calculating the customs duties on the goods.",,2
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","1. Heading 12.07 applies, inter alia, to palm nuts and kernels, cotton seeds, castor oil seeds, sesamum seeds, mustard seeds, safflower seeds, poppy seeds and shea nuts (karite nuts). It does not apply to products of heading 08.01 or 08.02 or to olives (Chapter 7 or Chapter 20).

2. Heading 12.08 applies not only to non defatted flours and meals but also to flours and meals which have been partially defatted or defatted and wholly or partially refatted with their original oils. It does not, however, apply to residues of headings 23.04 to 23.06.

3. For the purpose of heading 12.09, beet seeds, grass and other herbage seeds, seeds of ornamental flowers, vegetable seeds, seeds of forest trees, seeds of fruit trees, seeds of vetches (other than those of the species Vicia faba) or of lupines are to be regarded as ""seeds of a kind used for sowing"".

Heading 12.09 does not, however, apply to the following even if for sowing:

(a) Leguminous vegetables or sweet corn (Chapter 7);
(b) Spices or other products of Chapter 9;
(c) Cereals (Chapter 10); or
(d) Products of headings 12.01 to 12.07 or 12.11.

4. Heading 12.11 applies, inter alia, to the following plants or parts thereof: basil, borage, ginseng, hyssop, liquorice, all species of mint, rosemary, rue, sage and wormwood.

Heading 12.11 does not, however, apply to:

(a) Medicaments of Chapter 30;
(b) Perfumery, cosmetic or toilet preparations of Chapter 33; or
(c) Insecticides, fungicides, herbicides, disinfectants or similar products of heading 38.08.

5. For the purpose of heading 12.12, the term ""seaweeds and other algae"" does not include:

(a) Dead single cell micro organisms of heading 21.02;
(b) Cultures of micro organisms of heading 30.02; or
(c) Fertilizers of heading 31.01 or 31.05.

","1. For the purposes of subheading 1205.10, the expression ""low erucic acid rape or colza seeds"" means rape or colza seeds yielding a fixed oil which has an erucic acid content of less than 2% by weight and yielding a solid component which contains less than 30 micromoles of glucosinolates per gram.","1. For the purpose of heading 12.08, the term ""flour"" applies only to products of which more than 50% by weight passes through a No. 5 bolting cloth with an average mesh aperture of 0.263 mm.",,2
13,"Lac; gums, resins and other vegetable saps and extracts","1. Heading 13.02 applies, inter alia, to liquorice extract and extract of pyrethrum, extract of hops, extract of aloes and opium.

The heading does not apply to:

(a) Liquorice extract containing more than 10% by weight of sucrose or put up as confectionery (heading 17.04);
(b) Malt extract (heading 19.01);
(c) Extracts of coffee, tea or maté (heading 21.01);
(d) Vegetable saps or extracts constituting alcoholic beverages (Chapter 22);
(e) Camphor, glycyrrhizin or other products of heading 29.14 or 29.38;
(f) Concentrates of poppy straw containing not less than 50% by weight of alkaloids (heading 29.39);
(g) Medicaments of heading 30.03 or 30.04 or blood-grouping reagents (heading 30.06);
(h) Tanning or dyeing extracts (heading 32.01 or 32.03);
(ij) Essential oils, concretes, absolutes, resinoids extracted oleoresins, aqueous distillates or aqueous solutions of essential oils or preparations based on odoriferous substances of a kind used for the manufacture of beverages (Chapter 33); or
(k) Natural rubber, balata, gutta-percha, guayule, chicle or similar natural gums (heading 40.01).",,,,2
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,"1. This Chapter does not cover the following products which are to be classified in Section XI:  vegetable materials or fibres of vegetable materials of a kind used primarily in the manufacture of textiles, however prepared, or other vegetable materials which have undergone treatment so as to render them suitable for use only as textile materials.

2. Heading 14.01 applies, inter alia, to bamboos (whether or not split, sawn lengthwise, cut to length, rounded at the ends, bleached, rendered non-inflammable, polished or dyed), split osier, reeds and the like, to rattan cores and to drawn or split rattans. The heading does not apply to chipwood (heading 44.04).

3. Heading 14.04 does not apply to wood wool (heading 44.05) and prepared knots or tufts for broom or brush making (heading 96.03).",,,,2
15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,"1. This Chapter does not cover:

(a) Pig fat or poultry fat of heading 02.09;
(b) Cocoa butter, fat or oil (heading 18.04);
(c) Edible preparations containing by weight more than 15% of the products of heading 04.05 (generally Chapter 21);
(d) Greaves (heading 23.01) or residues of headings 23.04 to 23.06;
(e) Fatty acids, prepared waxes, medicaments, paints, varnishes, soap, perfumery, cosmetic or toilet preparations, sulphonated oils or other goods of Section VI; or
(f) Factice derived from oils (heading 40.02).

2. Heading 15.09 does not apply to oils obtained from olives by solvent extraction (heading 15.10).

3. Heading 15.18 does not cover fats or oils or their fractions, merely denatured, which are to be classified in the heading appropriate to the corresponding undenatured fats and oils and their fractions.

4. Soap-stocks, oil foots and dregs, stearin pitch, glycerol pitch and wool grease residues fall in heading 15.22.","1. For the purposes of subheadings 1514.11 and 1514.19, the expression ""low erucic acid rape or colza oil"" means the fixed oil which has an erucic acid content of less than 2% by weight.  ",,,3
16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates","1. This Chapter does not cover meat, meat offal, fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved by the processes specified in Chapters 2 or 3 or heading 05.04.

2. Food preparations fall in this Chapter provided that they contain more than 20% by weight of sausage, meat, meat offal, blood, fish or crustaceans, molluscs or other aquatic invertebrates, or any combination thereof. In cases where the preparation contains two or more of the products mentioned above, it is classified in the heading of Chapter 16 corresponding to the component or components which predominate by weight. These provisions do not apply to the stuffed products of heading 19.02 or to the preparations of heading 21.03 or 21.04.","1. For the purpose of subheading 1602.10, the expression ""homogenised preparations"" means preparations of meat, meat offal or blood, finely homogenised, put up for retail sale as food suitable for infants or young children or for dietetic purposes, in containers of a net weight content not exceeding 250 g. For the application of this definition no account is to be taken of small quantities of any ingredients which may have been added to the preparation for seasoning, preservation or other purposes. These preparations may contain a small quantity of visible pieces of meat or meat offal. This subheading takes precedence over all other subheadings of heading 16.02.

2. The fish, crustaceans, molluscs and other aquatic invertebrates specified in the subheadings of heading 16.04 or 16.05 under their common names only, are of the same species as those mentioned in Chapter 3 under the same name.","1. ""Specially defined mixtures"" of tariff items Nos. 1602.31.11, 1602.31.92, 1602.32.11 and 1602.32.92 means chicken or turkey or a product containing chicken or turkey, wherein 13% or more of the total weight of the product is comprised of goods other than the following: chicken, turkey, bread or breading, batter, oil, glazing, other coatings and bastes, and any added water (including that used in marination, glazing, other coatings, bastes, breading and batter). For the purposes of this definition, the weight of all ingredients shall be taken from the product specification sheets for that product required under the Meat Inspection Act for product labelling purposes.

2. Where the components of food preparations of a type used commercially in the preparation of fresh food products for direct sale to a consumer include cheese, those components are to be classified separately, in their respective headings, regardless of their packaging.","(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of classification No. 1602.50.91.20, the expression “corned beef” applies to salted cured beef, with or without the addition of flavoring or spices.",4
17,Sugars and sugar confectionery,"1. This Chapter does not cover:

(a) Sugar confectionery containing cocoa (heading 18.06);
(b) Chemically pure sugars (other than sucrose, lactose, maltose, glucose and fructose) or other products of heading 29.40; or
(c) Medicaments or other products of Chapter 30.
Subheading Notes.

1. For the purpose of subheading 1701.12, 1701.13 and 1701.14, ""raw sugar"" means sugar whose content of sucrose by weight, in the dry state, corresponds to a polarimeter reading of less than 99.5°.

2. Subheading 1701.13 covers only cane sugar obtained without centrifugation, whose content of sucrose by weight, in the dry state, corresponds to a polarimeter reading of 69° or more but less than 93°. The product contains only natural anhedral microcrystals, of irregular shape, not visible to the naked eye, which are surrounded by residues of molasses and other constituents of sugar cane.",,,,4
18,Cocoa and cocoa preparations,"1. This Chapter does not cover the preparations of heading 04.03, 19.01, 19.04, 19.05, 21.05, 22.02, 22.08, 30.03 or 30.04.

2. Heading 18.06 includes sugar confectionery containing cocoa and, subject to Note 1 to this Chapter, other food preparations containing cocoa.",,,,4
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products","1. This Chapter does not cover:

(a) Except in the case of stuffed products of heading 19.02, food preparations containing more than 20% by weight of sausage, meat, meat offal, blood, fish or crustaceans, molluscs or other aquatic invertebrates, or any combination thereof (Chapter 16);
(b) Biscuits or other articles made from flour or from starch, specially prepared for use in animal feeding (heading 23.09); or
(c) Medicaments or other products of Chapter 30.
2. For the purposes of heading 19.01:

(a) The term ""groats"" means cereal groats of Chapter 11;
(b) The terms ""flour"" and ""meal"" mean:
(1) Cereal flour and meal of Chapter 11, and
(2) Flour, meal and powder of vegetable origin of any Chapter, other than flour, meal or powder of dried vegetables (heading 07.12), of potatoes (heading 11.05) or of dried leguminous vegetables (heading 11.06).
3. Heading 19.04 does not cover preparations containing more than 6% by weight of cocoa calculated on a totally defatted basis or completely coated with chocolate or other food preparations containing cocoa of heading 18.06 (heading 18.06).

4. For the purpose of heading 19.04, the expression ""otherwise prepared"" means prepared or processed to an extent beyond that provided for in the headings of or Notes to Chapter 10 or 11.",,,,4
20,"Preparations of vegetables, fruit, nuts or other parts of plants","1. This Chapter does not cover:

(a) Vegetables, fruit or nuts, prepared or preserved by the processes specified in Chapter 7, 8 or 11
(b) Food preparations containing more than 20% by weight of sausage, meat, meat offal, blood, fish or crustaceans, molluscs or other aquatic invertebrates, or any combination thereof (Chapter 16);
(c) Bakers' wares and other products of heading 19.05; or
(d) Homogenised composite food preparations of heading 21.04.
2. Headings 20.07 and 20.08 do not apply to fruit jellies, fruit pastes, sugar-coated almonds or the like in the form of sugar confectionery (heading 17.04) or chocolate confectionery (heading 18.06).

3. Headings 20.01, 20.04 and 20.05 cover, as the case may be, only those products of Chapter 7 or of heading 11.05 or 11.06 (other than flour, meal and powder of the products of Chapter 8) which have been prepared or preserved by processes other than those referred to in Note 1 (a).

4. Tomato juice the dry weight content of which is 7% or more is to be classified in heading 20.02.

5. For the purposes of heading 20.07, the expression ""obtained by cooking"" means obtained by heat treatment at atmospheric pressure or under reduced pressure to increase the viscosity of a product through reduction of water content or other means.

6. For the purpose of heading 20.09, the expression ""juices, unfermented and not containing added spirit"" means juices of an alcoholic strength by volume (see Note 2 to Chapter 22) not exceeding 0.5% vol.","1. For the purpose of subheading 2005.10, the expression ""homogenized vegetables"" means preparations of vegetables, finely homogenised, put up for retail sale as food suitable for infants or young children or for dietetic purposes, in containers of a net weight content not exceeding 250 g. For the application of this definition no account is to be taken of small quantities of any ingredients which may have been added to the preparation for seasoning, preservation or other purposes. These preparations may contain a small quantity of visible pieces of vegetables. Subheading 2005.10 takes precedence over all other subheadings of heading 20.05.

2. For the purpose of subheading 2007.10, the expression ""homogenized preparations"" means preparations of fruit, finely homogenised, put up for retail sale as food suitable for infants or young children or for dietetic purposes, in containers of a net weight content not exceeding 250 g. For the application of this definition no account is to be taken of small quantities of any ingredients which may have been added to the preparation for seasoning, preservation or other purposes. These preparations may contain a small quantity of visible pieces of fruit. Subheading 2007.10 takes precedence over all other subheadings of heading 20.07.

3. For the purposes of subheadings 2009.12, 2009.21, 2009.31, 2009.41, 2009.61 and 2009.71, the expression ""Brix value"" means the direct reading of degrees Brix obtained from a Brix hydrometer or of refractive index expressed in terms of percentage sucrose content obtained from a refractometer, at a temperature of 20°C or corrected for 20°C if the reading is made at a different temperature.",,"(NB This note does not form part of the Customs Tariff legislation.)

1. ""Brix value"" is a measure of sugar percentage in a simple syrup at a fixed temperature (20°C). A high Brix value (20 or more) is associated with juice that is more concentrated. A low Brix value indicates a lower level of concentration.",4
21,Miscellaneous edible preparations,"1. This Chapter does not cover:

(a) Mixed vegetables of heading 07.12;
(b) Roasted coffee substitutes containing coffee in any proportion (heading 09.01);
(c) Flavoured tea (heading 09.02);
(d) Spices or other products of headings 09.04 to 09.10;
(e) Food preparations, other than the products described in heading 21.03 or 21.04, containing more than 20% by weight of sausage, meat, meat offal, blood, fish or crustaceans, molluscs or other aquatic invertebrates, or any combination thereof) (Chapter 16);
(f) Yeast put up as a medicament or other products of heading 30.03 or 30.04; or
(g) Prepared enzymes of heading 35.07.

2. Extracts of the substitutes referred to in Note 1 (b) above are to be classified in heading 21.01.

3. or the purpose of heading 21.04, the expression ""homogenized composite food preparations"" means preparations consisting of a finely homogenized mixture of two or more basic ingredients such as meat, fish, vegetables, fruit or nuts, put up for retail sale as food suitable for infants or young children or for dietetic purposes, in containers of a net weight content not exceeding 250 g. For the application of this definition, no account is to be taken of small quantities of any ingredients which may be added to the mixture for seasoning, preservation or other purposes. Such preparations may contain a small quantity of visible pieces of ingredients.",,,,4
22,"Beverages, spirits and vinegar","1. This Chapter does not cover:

(a) Products of this Chapter (other than those of heading 22.09) prepared for culinary purposes and thereby rendered unsuitable for consumption as beverages (generally heading 21.03);
(b) Sea water (heading 25.01);
(c) Distilled or conductivity water or water of similar purity (heading 28.53);
(d) Acetic acid of a concentration exceeding 10% by weight of acetic acid (heading 29.15);
(e) Medicaments of heading 30.03 or 30.04; or
(f) Perfumery or toilet preparations (Chapter 33).

2. For the purpose of this Chapter and of Chapters 20 and 21, the ""alcoholic strength by volume"" shall be determined at a temperature of 20°C.

3. For the purpose of heading 22.02, the term ""non-alcoholic beverages"" means beverages of an alcoholic strength by volume not exceeding 0.5% vol. Alcoholic beverages are classified in headings 22.03 to 22.06 or heading 22.08 as appropriate.","1. For the purpose of subheading 2204.10, the expression ""sparkling wine"" means wine which, when kept at a temperature of 20°C in closed containers, has an excess pressure of not less than 3 bars.",,,4
23,Residues and waste from the food industries; prepared animal fodder,"1.  Heading 23.09 includes products of a kind used in animal feeding, not elsewhere specified or included, obtained by processing vegetable or animal materials to such an extent that they have lost the essential characteristics of the original material, other than vegetable waste, vegetable residues and by-products of such processing.

","1. For the purposes of subheading 2306.41, the expression ""low erucic acid rape or colza seeds"" means seeds as defined in Subheading Note 1 to Chapter 12.",,,4
24,Tobacco and manufactured tobacco substitutes,"1. This Chapter does not cover medicinal cigarettes (Chapter 30).

","1. For the purpose of subheading 2403.11, the expression ""water pipe tobacco"" means tobacco intended for smoking in a water pipe and which consists of a mixture of tobacco and glycerol, whether or not containing aromatic oils and extracts, molasses or sugar, and whether or not flavoured with fruit. However, tobacco-free products intended for smoking in a water pipe are excluded from this subheading.",,,4
