tariff,description,uom,mfn,gt,aut,nzt,ccct,ldct,gpt,ust,mt,must,ciat,ct,crt,it,nt,slt,pt,colt,jt,pat,hnt,krt,ceut,uat,cptpt
0102.29.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.29.00.10,Dairy,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0102.29.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0102.3,Buffalo:,,,,,,,,,,,,,,,,,,,,,,,,,,
0102.31.00,Pure-bred breeding animals,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.31.00.00,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.39.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.39.00.00,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0102.90.00.00,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01.03,Live swine.,,,,,,,,,,,,,,,,,,,,,,,,,,
0103.10.00,Pure-bred breeding animals,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103.10.00.00,Pure-bred breeding animals,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0103.91.00,Weighing less than 50 kg,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103.91.00.00,Weighing less than 50 kg,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103.92.00,Weighing 50 kg or more,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0103.92.00.00,Weighing 50 kg or more,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01.04,Live sheep and goats.,,,,,,,,,,,,,,,,,,,,,,,,,,
0104.10.00,Sheep,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0104.10.00.10,Pure-bred breeding animals,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0104.10.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0104.20.00,Goats,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0104.20.00.10,Pure-bred breeding animals,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0104.20.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
01.05,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,,,,,,,,,,,,,,,,,,,,,,,,,
0105.1,Weighing not more than 185 g:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.11,Fowls of the species Gallus domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.11.10,For breeding purposes,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.11.10.00,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.11.2,Broilers for domestic production:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.11.21.00,Within access commitment,NMB,0.86 ¢each,,,,Free,Free,,Free,,,,Free,,,,,Free,Free,Free,,,,Free,Free,Free
0105.11.22,Over access commitment,,238 % but not less than 30.8 ¢each,,,,,,,,,,,,,,,,,,,,,,,,
0105.11.22.00,Over access commitment,NMB,238 % but not less than 30.8 ¢each,,,,,,,,,,,,,,,,,,,,,,,,
0105.11.90,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.11.90.00,Other,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.12,Turkeys,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.12.10,For breeding purposes,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.12.10.00,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.12.90.00,Other,NMB,8 %,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,5.5 %
0105.13,Ducks,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.13.10,For breeding purposes,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.13.10.00,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.13.90.00,Other,NMB,8 %,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.14,Geese,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.14.10,For breeding purposes,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.14.10.00,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.14.90.00,Other,NMB,8 %,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.15,Guinea fowls,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.15.10,For breeding purposes,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.15.10.00,For breeding purposes,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.15.90.00,Other,NMB,2.5 %,,,,Free,Free,Free,Free,Free,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0105.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94,Fowls of the species Gallus domesticus,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.10,For breeding purposes; Spent fowl;Started pullets,,2.82 ¢/kg,,,,Free,Free,,Free,,,,Free,Free,,,,Free,Free,Free,,Free,Free,Free,Free,2.05 ¢/kg
0105.94.10.1,For breeding purposes; Started pullets:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.10.11,"Weighing not more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.10.12,"Weighing more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.10.20,Spent fowl,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.91,Within access commitment,,1.9 ¢/kg,,,,Free,Free,,Free,,,,Free,,,,,Free,Free,Free,,,,Free,Free,Free
0105.94.91.10,"Weighing not more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.91.20,"Weighing more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.92,Over access commitment,,238 % but not less than $1.25/kg,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.92.10,"Weighing not more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.94.92.20,"Weighing more than 2,000 g",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0105.99,Other,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.99.1,Turkeys:,,,,,,,,,,,,,,,,,,,,,,,,,,
0105.99.11.00,Within access commitment,KGM,1.9 ¢/kg,,,,Free,Free,,Free,,,,Free,,,,,Free,Free,Free,Free,,,Free,Free,Free
0105.99.12,Over access commitment,,154.5 % but not less than $1.60/kg,,,,,,,,,,,,,,,,,,,,,,,,
0105.99.12.00,Over access commitment,KGM,154.5 % but not less than $1.60/kg,,,,,,,,,,,,,,,,,,,,,,,,
0105.99.90.00,Other,KGM,3 %,,,,Free,Free,,Free,,,,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,2 %
01.06,Other live animals.,,,,,,,,,,,,,,,,,,,,,,,,,,
0106.1,Mammals:,,,,,,,,,,,,,,,,,,,,,,,,,,
0106.11.00,Primates,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.11.00.00,Primates,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.12.00,"Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.12.00.00,"Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.13.00,Camels and other camelids (Camelidae),,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.13.00.00,Camels and other camelids (Camelidae),NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.14.00,Rabbits and hares,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.14.00.00,Rabbits and hares,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.19.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.19.00.10,Minks,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.19.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.20.00,Reptiles (including snakes and turtles),,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.20.00.00,Reptiles (including snakes and turtles),NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.3,Birds:,,,,,,,,,,,,,,,,,,,,,,,,,,
0106.31.00,Birds of prey,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.31.00.00,Birds of prey,NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.32.00,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
01.01,"Live horses, asses, mules and hinnies.",,,,,,,,,,,,,,,,,,,,,,,,,,
0307.39.10,Smoked,,4%,,,,Free,Free,3 %,Free,Free,Free,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
2202.99.33,"Other, containing 50% or more by weight of dairy content, not put up for retail sale, over access commitment",,256 % but not less than $36.67/hl,,,,,,,,,,,,,,,,,,,,,,,,
3402.20.10,Automatic dishwasher detergents,,6.5 %,,,,Free,Free,3 %,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
8302.41.10,"Bar or rod type door exit devices, for commercial, institutional or industrial applications; For use in the manufacture or repair of rotary gear window operators; Rotary gear window operators; Snub-guides, lever-lock operators, torsion bars and centre hooks for lever-lock or rotary gear window operators, sash locks (excluding peg locks) and keepers for key-operated security locks or sash locks (excluding peg-locks), for use in the manufacture of casement or awning windows",,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
8507.20.10,"For use in the initial installation of smoke, fire or gas detection and alarm systems manufactured in Canada, including power supply panels and modules for those systems",,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
8482.99.90.10,Of ball bearings,-,,,,,,,,,,,,,,,,,,,,,,,,,
0106.32.00.00,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.33.00,Ostriches; emus (Dromaius novaehollandiae),,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.33.00.00,Ostriches; emus (Dromaius novaehollandiae),NMB,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.39.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.39.00.10,Pet or song birds,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.39.00.90,Other,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.4,Insects:,,,,,,,,,,,,,,,,,,,,,,,,,,
0106.41.00,Bees,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.41.00.10,"Honey bees, not including queen bees",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0106.41.00.20,Queen bees,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.41.00.90,Other,-,,,,,,,,,,,,,,,,,,,,,,,,,
0106.49.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.49.00.00,Other,-,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.90.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0106.90.00.10,Bait,-,,,,,,,,,,,,,,,,,,,,,,,,,
0106.90.00.20,Amphibians,NMB,,,,,,,,,,,,,,,,,,,,,,,,,
0106.90.00.90,Other,-,,,,,,,,,,,,,,,,,,,,,,,,,
02.01,"Meat of bovine animals, fresh or chilled.",,,,,,,,,,,,,,,,,,,,,,,,,,
0201.10,Carcasses and half-carcasses,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.10.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0201.10.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.10.10.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.10.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0201.10.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.10.20.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20,Other cuts with bone in,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0201.20.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.10.80,"Other, processed",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.10.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.10.93,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.10.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0201.20.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20.30,Of bison,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20.91,Rib,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20.93,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.20.20.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30,Boneless,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0201.30.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.10.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.10.95,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.10.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0201.30.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.50,Of bison,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.60,"Other, processed",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.92,Chuck,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.93,Rib,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.94,Hip,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.95,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0201.30.20.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
02.02,"Meat of bovine animals, frozen.",,,,,,,,,,,,,,,,,,,,,,,,,,
0202.10,Carcasses and half-carcasses,,,,,,,,,,,,,,,,,,,,,,,,,,
0202.10.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0202.10.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.10.10.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.10.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0202.10.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.10.20.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20,Other cuts with bone in,,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0202.20.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20.10.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0202.20.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20.20.30,Of bison,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.20.20.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30,Boneless,,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10,Within access commitment,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0202.30.10.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.70,"Other, processed",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.8,"Other, quarters:",,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.81,Forequarter,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.82,Hindquarter,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.95,"Eye of round, outside round, inside round, outside flat and sirloin tip",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.96,Hip,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.97,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.10.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20,Over access commitment,,26.5 %,,,,Free,Free,,Free,Free,,,Free,,,,,Free,Free,Free,Free,Free,Free,Free,Free,13 %
0202.30.20.10,Veal,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20.50,Of bison,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20.95,"Eye of round, outside round, inside round, outside flat and sirloin tip",KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20.97,Loin,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0202.30.20.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
02.03,"Meat of swine, fresh, chilled or frozen.",,,,,,,,,,,,,,,,,,,,,,,,,,
0203.1,Fresh or chilled:,,,,,,,,,,,,,,,,,,,,,,,,,,
0203.11.00,Carcasses and half-carcasses,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.11.00.00,Carcasses and half-carcasses,KGM,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.12.00,"Hams, shoulders and cuts thereof, with bone in",,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.12.00.00,"Hams, shoulders and cuts thereof, with bone in",KGM,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.19.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.19.00.10,Spare ribs,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.19.00.20,Back ribs,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.19.00.9,Other:,,,,,,,,,,,,,,,,,,,,,,,,,,
0203.19.00.91,Processed,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.19.00.99,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.2,Frozen:,,,,,,,,,,,,,,,,,,,,,,,,,,
0203.21.00,Carcasses and half-carcasses,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.21.00.00,Carcasses and half-carcasses,KGM,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.22.00,"Hams, shoulders and cuts thereof, with bone in",,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.22.00.00,"Hams, shoulders and cuts thereof, with bone in",KGM,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.29.00,Other,,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0203.29.00.10,Spare ribs,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.29.00.20,Back ribs,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
0203.29.00.90,Other,KGM,,,,,,,,,,,,,,,,,,,,,,,,,
02.04,"Meat of sheep or goats, fresh, chilled or frozen.",,,,,,,,,,,,,,,,,,,,,,,,,,
0204.10.00,"Carcasses and half-carcasses of lamb, fresh or chilled",,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0204.10.00.00,"Carcasses and half-carcasses of lamb, fresh or chilled",KGM,Free,,,,Free,Free,Free,Free,Free,,Free,Free,Free,Free,,,Free,Free,Free,Free,Free,Free,Free,Free,Free
0204.2,"Other meat of sheep, fresh or chilled:",,,,,,,,,,,,,,,,,,,,,,,,,,
