|TARIFF|,|EFF_DATE|,|CHANGE|,|SUB_CHAP|,|DESC1|,|DESC2|,|DESC3|,|FOOTNOTE|,|UOM|,|MFN|,|GT|,|AUT|,|NZT|,|CCCT|,|LDCT|,|GPT|,|UST|,|MT|,|MUST|,|CIAT|,|CT|,|CRT|,|IT|,|NT|,|SLT|,|PT|,|COLT|,|JT|,|PAT|,|HNT|,|KRT|,|CEUT|,|UAT|,|CPTPT|,|row_id|
|0102.21.00.10|,1/1/2012 0:00:00,0.00,||,|Dairy|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,267
|0102.21.00.90|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,268
|0102.29.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,269
|0102.29.00.10|,1/1/2012 0:00:00,0.00,||,|Dairy|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,270
|0102.29.00.90|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,271
|0102.3|,1/1/2012 0:00:00,0.00,,|Buffalo:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272
|0102.31.00|,9/1/2019 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,273
|0102.31.00.00|,1/1/2012 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,274
|0102.39.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,275
|0102.39.00.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,276
|0102.90.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,277
|0102.90.00.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,278
|01.03|,1/1/1998 0:00:00,0.00,||,|Live swine.|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,279
|0103.10.00|,9/1/2019 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,280
|0103.10.00.00|,1/1/1998 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,281
|0103.9|,1/1/1998 0:00:00,0.00,,|Other:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282
|0103.91.00|,9/1/2019 0:00:00,0.00,||,|Weighing less than 50 kg|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,283
|0103.91.00.00|,1/1/1998 0:00:00,0.00,||,|Weighing less than 50 kg|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,284
|0103.92.00|,9/1/2019 0:00:00,0.00,||,|Weighing 50 kg or more|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,285
|0103.92.00.00|,1/1/1998 0:00:00,0.00,||,|Weighing 50 kg or more|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,286
|01.04|,1/1/1998 0:00:00,0.00,||,|Live sheep and goats.|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,287
|0104.10.00|,9/1/2019 0:00:00,0.00,||,|Sheep|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,288
|0104.10.00.10|,1/1/1998 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,289
|0104.10.00.90|,1/1/1998 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,290
|0104.20.00|,9/1/2019 0:00:00,0.00,||,|Goats|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,291
|0104.20.00.10|,1/1/1998 0:00:00,0.00,||,|Pure-bred breeding animals|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,292
|0104.20.00.90|,1/1/1998 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,293
|01.05|,1/1/1998 0:00:00,0.00,||,|Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,294
|0105.1|,1/1/2012 0:00:00,0.00,,|Weighing not more than 185 g:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295
|0105.11|,1/1/2017 0:00:00,0.00,||,|Fowls of the species Gallus domesticus|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,296
|0105.11.10|,9/1/2019 0:00:00,0.00,||,|For breeding purposes|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,297
|0105.11.10.00|,1/1/1998 0:00:00,0.00,||,|For breeding purposes|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,298
|0105.11.2|,1/1/1998 0:00:00,0.00,,| Broilers for domestic production:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299
|0105.11.21.00|,1/1/1998 0:00:00,0.00,||,| Within access commitment|,,,||,|NMB|,|0.86 ¢each|,||,||,||,|Free|,|Free|,||,|Free|,||,||,||,|Free|,||,||,||,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,300
|0105.11.22|,9/1/2019 0:00:00,0.00,||,|Over access commitment|,,,||,||,|238 % but not less than 30.8 ¢each|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,301
|0105.11.22.00|,1/1/1998 0:00:00,0.00,||,|Over access commitment|,,,||,|NMB|,|238 % but not less than 30.8 ¢each|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,302
|0105.11.90|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,303
|0105.11.90.00|,1/1/1998 0:00:00,0.00,||,|Other|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,304
|0105.12|,1/1/1998 0:00:00,0.00,||,|Turkeys|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,305
|0105.12.10|,9/1/2019 0:00:00,0.00,||,|For breeding purposes|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,306
|0105.12.10.00|,1/1/1998 0:00:00,0.00,||,|For breeding purposes|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,307
|0105.12.90.00|,1/1/2020 0:00:00,1.00,||,|Other|,,,||,|NMB|,|8 %|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|5.5 %|,308
|0105.13|,1/1/2012 0:00:00,0.00,||,|Ducks|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,309
|0105.13.10|,9/1/2019 0:00:00,0.00,||,|For breeding purposes|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,310
|0105.13.10.00|,1/1/2012 0:00:00,0.00,||,|For breeding purposes|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,311
|0105.13.90.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|8 %|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,312
|0105.14|,1/1/2012 0:00:00,0.00,||,|Geese|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,313
|0105.14.10|,9/1/2019 0:00:00,0.00,||,|For breeding purposes|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,314
|0105.14.10.00|,1/1/2012 0:00:00,0.00,||,|For breeding purposes|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,315
|0105.14.90.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|8 %|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,316
|0105.15|,1/1/2013 0:00:00,0.00,||,|Guinea fowls
|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,317
|0105.15.10|,9/1/2019 0:00:00,0.00,||,|For breeding purposes|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,318
|0105.15.10.00|,1/1/2012 0:00:00,0.00,||,|For breeding purposes|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,319
|0105.15.90.00|,1/1/2012 0:00:00,0.00,||,|Other|,,,||,|NMB|,|2.5 %|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,320
|0105.9|,1/1/1998 0:00:00,0.00,,|Other:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321
|0105.94|,1/1/2017 0:00:00,0.00,||,|Fowls of the species Gallus domesticus|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,322
|0105.94.10|,1/1/2020 0:00:00,1.00,||,|For breeding purposes; 
Spent fowl;
Started pullets|,,,||,||,|2.82 ¢/kg|,||,||,||,|Free|,|Free|,||,|Free|,||,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,|Free|,|2.05 ¢/kg|,323
|0105.94.10.1|,1/1/2012 0:00:00,0.00,,|For breeding purposes; Started pullets:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324
|0105.94.10.11|,1/1/2012 0:00:00,0.00,||,|Weighing not more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,325
|0105.94.10.12|,1/1/2012 0:00:00,0.00,||,|Weighing more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,326
|0105.94.10.20|,1/1/2012 0:00:00,0.00,||,|Spent fowl|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,327
|0105.94.9|,1/1/2007 0:00:00,0.00,,|Other:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328
|0105.94.91|,1/1/2007 0:00:00,0.00,||,|Within access commitment|,,,||,||,|1.9 ¢/kg|,||,||,||,|Free|,|Free|,||,|Free|,||,||,||,|Free|,||,||,||,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,329
|0105.94.91.10|,1/1/2012 0:00:00,0.00,||,|Weighing not more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,330
|0105.94.91.20|,1/1/2012 0:00:00,0.00,||,|Weighing more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,331
|0105.94.92|,10/1/2012 0:00:00,0.00,||,|Over access commitment|,,,||,||,|238 % but not less than $1.25/kg|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,332
|0105.94.92.10|,1/1/2012 0:00:00,0.00,||,|Weighing not more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,333
|0105.94.92.20|,1/1/2012 0:00:00,0.00,||,|Weighing more than 2,000 g|,,,||,|KGM|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,334
|0105.99|,1/1/1998 0:00:00,0.00,||,|Other|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,335
|0105.99.1|,1/1/1998 0:00:00,0.00,,|Turkeys:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336
|0105.99.11.00|,1/1/1998 0:00:00,0.00,||,|Within access commitment|,,,||,|KGM|,|1.9 ¢/kg|,||,||,||,|Free|,|Free|,||,|Free|,||,||,||,|Free|,||,||,||,||,|Free|,|Free|,|Free|,|Free|,||,||,|Free|,|Free|,|Free|,337
|0105.99.12|,10/1/2012 0:00:00,0.00,||,|Over access commitment|,,,||,||,|154.5 % but not less than $1.60/kg|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,338
|0105.99.12.00|,1/1/1998 0:00:00,0.00,||,|Over access commitment|,,,||,|KGM|,|154.5 % but not less than $1.60/kg|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,339
|0105.99.90.00|,1/1/1998 0:00:00,0.00,||,|Other|,,,||,|KGM|,|3 %|,||,||,||,|Free|,|Free|,||,|Free|,||,||,||,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|2 %|,340
|01.06|,1/1/1998 0:00:00,0.00,||,|Other live animals.|,,,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,341
|0106.1|,1/1/2002 0:00:00,0.00,,|Mammals:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342
|0106.11.00|,9/1/2019 0:00:00,0.00,||,|Primates|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,343
|0106.11.00.00|,1/1/2002 0:00:00,0.00,||,|Primates|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,344
|0106.12.00|,9/1/2019 0:00:00,0.00,||,|Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,345
|0106.12.00.00|,1/1/2002 0:00:00,0.00,||,|Whales, dolphins and porpoises (mammals of the order Cetecea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,346
|0106.13.00|,9/1/2019 0:00:00,0.00,||,|Camels and other camelids (Camelidae)|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,347
|0106.13.00.00|,1/1/2012 0:00:00,0.00,||,|Camels and other camelids (Camelidae)|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,348
|0106.14.00|,9/1/2019 0:00:00,0.00,||,|Rabbits and hares|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,349
|0106.14.00.00|,1/1/2012 0:00:00,0.00,||,|Rabbits and hares|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,350
|0106.19.00|,9/1/2019 0:00:00,0.00,||,|Other|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,351
|0106.19.00.10|,1/1/2012 0:00:00,0.00,||,|Minks|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,352
|0106.19.00.90|,1/1/2002 0:00:00,0.00,||,|Other|,,,||,|NMB|,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,||,353
|0106.20.00|,9/1/2019 0:00:00,0.00,||,|Reptiles (including snakes and turtles)|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,354
|0106.20.00.00|,1/1/2002 0:00:00,0.00,||,|Reptiles (including snakes and turtles)|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,355
|0106.3|,1/1/2002 0:00:00,0.00,,|Birds:|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356
|0106.31.00|,9/1/2019 0:00:00,0.00,||,|Birds of prey|,,,||,||,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,357
|0106.31.00.00|,1/1/2002 0:00:00,0.00,||,|Birds of prey|,,,||,|NMB|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,||,|Free|,|Free|,|Free|,||,||,||,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,|Free|,358
